text,label,__index_level_0__
   And people still think this administration is the greatest since sliced bread. Ridiculous.,1,1962
 Nhs is only the way it is because we have a over populated country  Conservatives have privertised were nhs buys from,0,383
"awww , that's precious . i feel the same way about my mom",1,7213
definitely . that is for sure !,0,16157
"oh that is a bummer , i'm playing some nintendo games . i'm off today",0,18777
are you out fishing ? because i love fishing !,0,18720
"i just had breakfast . a bite of bagel , i am so busy with work .",0,20858
Athletes awoke to news that several water polo players had been injured in a terrifying accident in the early hours of Saturday morning when the second floor of a nightclub came down on the heads of revelers below.,0,100
i've running but i've done 3 triathlons so i've to .,1,7405
yes ! even my twins love to pen short stories . where do you live ?,1,12301
doing well ! i'm jane . just got home from work . what do you do ?,1,3715
he just thinks they're idiots .,1,1061
my mother had me accidentally when she was a prima ballerina then she worked a lot,1,4464
"yeah , i listen to toby keith pretty much on the daily",1,11296
i am a great cook and my specialty is italian dishes . studying microbiology .,1,8229
sorry to hear that . my grandchildren are everything to me !,0,17284
nice ! do you like eminem ?,1,6512
   Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,1,94
what do you do for a living jim ?,1,10570
i am studying for my masters . fortunately mom lets me live with her .,0,14729
Organized Resistance  The Leaking Campaign At State Dept To Derail The MAGA Agenda URL via ,0,7749
oh wow ! good luck ! yep ! i am married with kids ! hubby stays home with them .,0,16393
hey . i'm josh . whats your name ?,1,5492
well it nice to see jackie doing something different,1,1900
  I love your movies so much and I think you are amazing and beautiful,0,9009
 Hi hopefully you are now on board as one has passed through. I do apologies for the delay. We have experienced heavy delays across most services passing through St Albans due to roadworks. Apologies for the delayed response.,0,7542
"they're ok , but not as cool as watching tv .",0,25040
"/   The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",0,17
"i just got back on leave , i was in ranger school .",0,15519
where do you live ? i live in new york .,0,15934
oh really ? the violin is my thing .,1,3436
oh wow what is wrong with her ?,1,13116
my mother didn't work at home either . she was a nurse .,1,4995
"i read his books in french , german , and english . i miss my home though .",1,10743
 Here’s  helping improve how women are to be watched in sports.  face with rolling eyes  URL,0,889
   Not by the tea leaves you use by simple logic. You know that thing that comes from common sense.  Right no you don't know.  Winning Deplorables MAGA God Bless you.,0,4596
yes you as well with everything !,0,23460
what time you go to work ?,0,18948
"i hate it , it is fast food",0,20850
  Who remembers when this was a leftist argument in favor of Antifa right around when they first became national news,0,9219
"a guy that wears pink boots , interesting",1,7813
Pompeo appeared hopelessly lost when WSMV’s Nancy Amon was far better prepared for an interview than he was.,1,1216
  Soutien total. Stop #fascisme #Antifa #AntiFascist,0,12646
 I love your momma. She is me,0,12298
yeah cant wait to see foreigner with jackie chan,1,1899
not yet . i am hoping to open a bakery someday though .,0,25480
no never ! have you ? he would be cool to meet,1,1689
no but my husband does so we go camping while he hunts,0,14408
 Just listening to Juan Williams on the FIVE drives me crazy.  He is such an ignorant man.  Where does this man get his facts?  Thank GOD for Jesse Waters and you ladies!,1,3500
 Crazy liberals,1,2145
"she's sick a lot , i think the neighborhood we live in doesn't help her mood either .",1,9748
twelve and fifteen years old,1,3613
i like schubert and mozart . ever seen the movie amadeus ?,1,628
"traveling is exciting , but i travel a lot and it can get lonely",0,24689
i know i wouldn't have got my 3 tattoos if he was here to stop me,1,11087
i watch a ton of mma,1,267
great ! you ? i'm kevin . i just finished up college at ucla .,1,12489
  He is a genius!,0,2827
  If I ever met this woman I can guarantee you I would want to just slap the shit out of her.  She is a total disgrace !!  Dumber than a box of rocks,1,10133
i really like candy and i would love to play violin at your store .,1,8320
 Good game man,0,4684
"Less-organized migrants, tighter immigration control by Guatemalan authorities and the presence of U.S. advisers have reduced the likelihood that the hundreds of migrants who departed Honduras will form anything like the cohesive procession the term “caravan” now conjures.",1,36
you have a dog ? i've 3 . . . . . and a parrot !,0,25047
3 . 84 gpa so i would say yep . still have 2 years left tho . what do you knit ?,1,9996
my favorite is flash ! he's so fast !,1,8294
__SILENCE__,0,14327
   Oh yeah another cracking offering from   face with tears of joy  rolling on the floor laughing  face with tears of joy  rolling on the floor laughing  URL,0,1741
i'm a mature lady by the way .,1,6327
An initiative to build bridges between the Greek and Turkish speaking communities of ethnically split Cyprus faltered after the leader of the breakaway Turkish Cypriots skipped a soccer match over a dispute of the game's location.,0,787
"hello , my name is rose . i'm doing well , and you ?",1,8841
"The progressive push to bend Americans’ attitudes and their male-and-female civic society around the idea of “gender identity” has already attacked and cracked many of the popular social rules that help Americans manage the cooperation and competition among and between complementary, different, and equal men and women.",1,1531
 I thought Canada had strict gun control.  Help me understand what is happening.,0,148
  Saw u on Hannity last night. Want u to know I love your Dad and know everything he has sacrificed for us. He is to me the greatest President in my lifetime and in modern history. I so wish I could tell him. I would probably ugly cry though. He is a Godsend to this country.,0,10823
 Deep corruption in the Puerto Rican government is the cause for the ppls misery. Billions sent &amp; you don’t have the foresight to harden &amp; secure the power system on an island that will most likely get hit again. This is the Puerto Rican’s government ms fault.,1,5632
cool ! what do you play ?,1,6493
   Totally. Just shown herself up to be a spoilt narcissist. The comment to the umpire that he will never be at her matches for as long as he lives? Just who does she think she is?? Not gracious in defeat. A disgrace to the sport.,1,8372
"    Antifa are the fascists.  But, since you have been indoctrinated, you probably don't even know what fascism actually is.  Antifa are not fighting neo-Nazis"".  They are fighting anyone who isn't them, and they call them Nazis just to justify their hate.""",0,11151
a ballet dancer i suppose . i love driving fast too .,0,27645
"i just started my own channel to share tutorials on makeup , 50k subscribers !",1,7685
 just despacito,0,7195
perfect ! it sounds like fun . did you get your dress ?,1,2921
 Because she is in Labour Friends of Israel ?,0,5135
wow . what a nasty man . you are better off .,1,643
  Liberals act out of emotion. Not understanding the law. Then they go around condemning  who does not agree with their completely fucked rational. “Nobody believed women for  years. So let’s believe all women! Oh and screw the legal system! Men are pigs. He’s guilty!” Smh,1,837
"great that good to hear , i have to paint my fence tommorrow",0,17425
                A better question   what do American voters need to do to defeat Antifa &amp; their Democrat sponsors?,0,3902
do you have any children ? we have three and are thinking of having a fourth .,1,10472
i really like to cook i tried out for a cooking show,1,139
"yes indeed , i feel as though i live in the final destination universe .",0,27431
i see . i turn to football when i need a break .,1,1543
the only thing i read is music .,0,23722
i have six . ages 4 15 . how old are yours,0,13835
"i am an english teacher , but i want to be a writer one day . do you like stories ?",1,8355
__SILENCE__,0,24878
well hockey will always have my heart . well rainy days i practice my love of dancing .,1,7160
i am more into hard rock . who do you know from martius ?,1,34
   We need gun control laws to be safer and changed in Florida. This is why I am voting for the Democrats to help make our environment and health care better for us all! Please get out and vote!,0,4094
  Antifa aren't fascist   They're terrorist,1,2788
i am single but i do not think i want to get married,1,8434
no i don't collect anything,0,23573
i love horses . what other hobbies do you have ?,0,26283
 Please shut up Ontario is seeing what conservatives stand for  is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.,0,209
hey there how are you ?,0,20026
       True. But are all school shootings and accidents with toddlers done by bad criminals who would know how to get a gun? Highly doubt it. These are spontaneous acts/accidents that would be dramatically reduced by gun control.,0,8824
   Don't believe it more insincere talk from the Callous Conservatives. URL,0,12403
chocolate is very yummy what do u do for work,0,19278
 I believe that the gun control laws should not be so strict because criminals will still obtain guns regardless of gun restrictions and would make it harder for a law abiding citizen to defend themselves against an attack.,0,4623
i do not have that much time .,0,21938
&amp; you are myy brotherr red heart  red heart  URL,0,5255
soccer ! i also enjoy basketball and running .,1,13723
#Welcome back to #Parliament    Federal Liberals violated own fundraising rules #cdnpoli #ethics   URL,0,9809
"Bennett mounted an unsuccessful primary election challenge to Pan in 2018 and failed to qualify for the general election. In May, he launched a recall campaign against Pan, filing a petition accusing him of “high treason” for authoring legislation to restrict vaccine exemptions for school children.",0,370
no but i love to play jazz in my band with saxophone,1,6818
oh bummer i am sorry i am doing fine about to go to paris actually !,0,17118
he's freaking awesome for real,1,11504
   Restricting ammo is infringing upon right to bear arms. How about women can have abortions but restricted to - week of pregnancy and must be registered Easy test of gun control laws - apply them to other rights to see if they’d be supported. If not then they are bad,1,4499
i am just the religious type . don't get me agitated .,0,18700
 I know they be fired up thinking u got a hammer n your pants from how u walk n find out u got a coochie lol,1,9968
a cookie that looked like a tree,0,24659
who is your favorite author ? mine is dean koontz .,1,10673
what position do you play ? i watch baseball on tv,1,5523
"hi , my name pat how are you",0,15379
are you married do you have kids ?,1,5148
   You are so pretty!!??,0,4187
"i have 3 little horrors myself charlie , champ , and chopin . my horrors and joy hoho .",0,24371
   Yeah  probably views groups like Antifa and EFF as moderates. People who are against farm murders are labeled just as extreme as people singing songs about actually killing those farmers. Crazy times we live in. ,1,9764
did you ever do karate ?,1,12026
wow ! i write short stories . i am published . are your parents married ?,1,13749
i just got back from teaching an orchestra classical music .,1,2927
  YOU ARE REALLY AN ARMY ajsvsnsksjsj I LOVE YOU FAMILY,0,7968
"interesting , i'm james . i work on reality tv .",1,7117
"i work so much , i was able to pay off my house at age 30 .",0,15333
  of coarse he is alex and many other nation leaders are as we;ll lapdpgs URL,1,4076
which explains the overeating . . . but i do really like the kids though,1,1947
  Good grief. So this is how we calm antifa people?  Throw chicken nuggets at them?  How ridiculous are they?  I’d think it was funny if it wasn’t rewarding bad behavior.,0,923
i like to play games . do you ?,1,2361
"i guess so , never heard that but i like chocolate cake",1,9152
@ everyone who said jihoons new hair cut is ugly  you are wrong,1,9750
"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",1,413
just a nice guy really just i been told,1,9459
__SILENCE__,0,22464
i was just trying to imagine the perfect world,0,19510
"The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.",0,507
#Liberals + #Conservatives= #neoliberalism &amp; #Globalization &amp; all of its Discontents  #PPP-#CorporateWelfare-Dilution of #Constitutional Rights/Freedoms &amp; #Justice-#SocioPoliEconFinancial #Corruption &amp; PARTICRATIC #Collusion of #cdnpoli/ticians for %ers!  URL,1,8765
   Yeah fuck pogba thumbs up ,1,6265
 Shit...,1,9073
"not arrogance , my dear , it was my psychic abilities",0,14896
"biking , skateboarding , play guitar and listen to music",1,5748
__SILENCE__,0,16701
i love to read john gresham books . not too crazy about the books,1,12550
__SILENCE__,0,24370
  Crush him Beto !!! Make him look like the idiot he is.,1,9060
"no , but i want to go to ireland , japan , mexico . you ?",0,23498
"of course , i love to learn new things",0,18705
awesome ! i love doing diy stuff like that .,0,17414
 Liberal Dictionary  -Illegal Immigrants  Dreamers -Trump Supporters  Deplorable -MS- Killers  Human Beings -Human Beings in the Womb  Not Human Beings -Antifa  Protestors -Law Abiding NRA Members  Terrorists -Bill Clinton  Feminist -Brett Kavanaugh  Predator,1,6091
nice . i wanted to be an actor when i was younger,1,13564
oh . . . . why live a lie ?,0,24520
i think with more coffee you could do it,0,26440
"okay that is good , i have never read any of her books .",1,462
since i'm not an eye doctor but a pediatrician not much i can do,0,25842
what is your favorite color ?,0,25267
cool . . . i'm in the insurance business,0,14353
. real goal  To make everyone in Wisconsin as dumb as he is. URL,1,3318
Looks like a big group!   Way to lean into to #TeamTrump  #MAGA URL,0,9210
"wow , that is really super sad , are you ok ?",0,25935
 I love my penis and want to keep it. Would rather smoke a joint.,1,3911
      Since you're in the medical field I'm sure you are very knowledgeable,0,11220
   I looked over your record since getting a law degree and see ABSOLUTELY NOTHING meritorious or significant. You are one of the LEAST accomplished Individuals I have reviewed. What do YOU think you have done worth noting? Anything?     URL,0,9834
  Thank you  Your bravery is duly noted.,0,3116
   Yes but it doesnt help with the made up stories about him. He shouldn't of called football players SOB. but he is right about illegal immigration. We can't support the entire nation. Rules needs to change.,1,9438
"do you like the cowboys ? dude , i sure do .",1,6620
i have trouble trusting people . the world feels so dark sometimes .,0,25886
life is too short ! carpe diem !,0,19375
Anyone have any guesses as to what   &amp;  will lie about this week?? A) The world is ending Friday B) Give me all your money &amp; I'll triple it by tomorrow C)  knows everything - just listen to her D) #MAGA,1,8312
HOUSEHOLD NET WORTH  $ TRILLION   URL   #MAGA,0,4026
it makes everything better when you eat pizza . that's what i'm doing,0,22077
 Holy crap. I didn't realize it was THIS bad. Thanks for posting this...,0,11526
my mood would just change . i think it is my blood sugar,0,22907
do you have any hobbies ?,0,16850
 IK never did. He is liar.,1,9635
 We need to name and shame these people. Ive a fb group which i expose antifa. Hnh etc.   URL,0,2122
do you like isaiah rashad ?,1,558
hi there . i am practicing my singing . how are you ?,0,15285
you will be a awesome actor just keep the faith .,1,2810
#illegalaliens don't get #Constitutional rights URL #tcot #AmericaFirst #SanctuaryCities #Conservatives #law #Lawyers #thewall #Trumpwall #Wall,0,1951
"every place has fish , you just have to find the ponds",0,27081
"But rather than appreciate the fact that Asian-American women are considered highly attractive, Lim sees only a sneaking racial bias, a reflection of our upside-down cultural world where victimhood and oppression carry more social currency than even beauty and success.",1,1252
"that s great , where will you go ?",0,19173
lol . . natural curls are gorgeous . i permed mine,1,13775
"yeah we have to leave her with my mom , but she's our baby",1,10994
   It is interesting that you are more aware of the political system than ,0,3930
      You are a dope. A delusional libtard. Ask the Govoner of Puerto Rico about the fantastic response by our President ,1,2222
no i am married met her at a concert,1,795
But there was no sign that any gun legislation approved by the Democratic House majority would gain traction in the Republican-controlled Senate,0,1311
well i like the guitar so i am a hendrix fan,1,5082
. gets endorsement of nation's largest gun control group URL,0,10336
  She is an opportunist. She wanted a cabinet post but Liberals rightly decided she wasn’t good enough for the task. She crossed because Conservatives promised her one. She is a person with no core beliefs. She is not credible and not to be trusted.,1,1908
 stop sign  Gateway Pundit News  stop sign     backhand index pointing right  Judicial Committee Chair Grassley Goes Off on Feinstein – Says She REFUSED to Join Him on Call with Far Left Accuser   URL   #MAGA  flag  United States  ￼￼# #Prolife,0,7668
what you like to eat when you go out with friends ?,0,20322
regular of course . do you love art ? i just opened an art gallery .,0,21723
  Alt right conspiracy conservatives (TM) find common cause with alt left Putin sympathizers,0,8971
"bacon a cake ! bacon it early , bacon it good .",0,24149
 America is better than swamp crud like YOU!,1,10181
that is true i am mostly positive just wish the pain can go away,0,20462
am an accountant of our construction company .,0,15823
"oh nice , i saw nickelback in san francisco last summer .",0,25697
great ! ! i just found out that i am going to be playing college baseball,1,11706
"i like to eat with my girl friend , she's very pretty",1,2320
"i've no idea , they all died when i was 4",0,22063
"wow it sounds like you do a lot of different things , very cool",0,17999
AUGUST  – Read the best of NEW NOVEL Story Pitches URL,0,11655
"the incredible journey , its about a cat and 2 dogs getting lost in the wilderness",0,25278
  Haha...I thought omg! He was red pilled! I looked back through my replies and it only goes about a month back. I couldn’t find the convo..So thought I’d ask. Have a good one brother!  MAGA,0,2229
no i don't play much,1,5199
"well , i've an affinity for blue , so i collect weird blue items",0,17321
   has a deal with samrat family i think to save him from the case. We know how samrat is attract for girls teju and geetha. Now when complaint came he is taking care. Sad for her wife #KaushalArmy #,0,9728
i like the rap music do you ?,1,8170
i'm sorry to hear that,0,23840
  Cor   “Therefore if anyone is in Christ [Consciousness] he is a new creation. Old things have passed away and look! New things have come.”,0,5941
"canada ? my dad , he was an actor in canada",1,13552
  is paid to attack the credibility of anyone who criticizes or accuses Trump of wrong doing. He is a paid political hitman disguised as a journalist. He is a hack!,1,10093
i think you'll do great . i wish i made more money so i could travel,0,13994
 He is jeopardizing our security!  If he wants to show he favors transparency he can instead  release his taxes!,0,12249
hello i'm 28 how old are you,0,19062
my goal is to complete a book before i die .,0,20589
  lots of things you don’t know.  clown face ,0,10940
that is a lot of shoes . i've some kitten slippers .,1,4426
"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), bragged about how successful the industry has been in pushing anti-protest legislation,",1,442
i understand . do you have a favorite train ? my is thomas .,1,7549
  take your fish and get out!,0,8541
i am sorry . she is leaving me because i vacationed 4 times in mexico this year .,1,11872
what is the name of your crew ?,0,22403
jazz . claro que si . do you think balding is a big issue,0,15470
it is nice but windy,0,25107
my dad . he retired a few years back from law enforcement .,1,5039
"hi there , do you love are like me ?",0,17079
"White nationalism-fueled violence is on the rise, but FBI is slow to call it domestic terrorism.",0,1142
me too . my favorite holiday . i am the 4th child and weird,1,3543
 Yes they have and its infuriating.,0,8959
 Does he know who you are? Lol,0,5202
 Cause you sweet lil nigga,1,9848
__SILENCE__,0,17813
that is some type of combo,0,20955
oh ok . my girlfriend is interested in witchcraft . she would like you,1,1412
"i only just proposed , so we don t have a date yet . winter would be nice .",0,26811
do you play basketball ? it is my favorite .,1,11248
hello my mommie let me play on her computer,0,22872
i am also a beautiful mother,1,4582
           I think he's a comrade URL,0,10033
"i like a man with a big brain , but i hate a man with small hands .",1,12118
"water skiing , that is what i was doing today with my cousins",0,20916
 She is an absolutely beautiful gorgeous woman Inside and Out,0,9160
   they aren't....,0,1718
"A narrow plurality of Democrats favor allowing men who say they are transgender to enter women’s sports, but the change is opposed two-to-one by adults, independents, parents, and middle-class voters, says a poll by Rasmussen Reports.",0,317
my yoga teacher jenny drinks alcohol when we read fairytales . i paint pictures too .,1,7424
China appears to be feeding off similar complaints from the left in the United States. Complaints about partisan “gridlock” are perennial and grow especially loud when Democrats and their highly sympathetic media are the ones complaining about Republicans getting in their way.,1,790
  You may be able to reconnect now. Mind trying for us?  crossed fingers ,0,11198
that would be useful for my guitar playing .,1,10831
to a certain extent i do like him but not very much,1,507
__SILENCE__,0,24496
 There she is looking wretched,0,2061
whats your favorite netflix series ?,1,8846
Ain’t getting no pussy huh? URL,1,10522
i'm four . i want to be rich like a princess .,1,12531
"One of the bitterest cases in academe involved Steven Salaita, whose offer of a tenured faculty position at the University of Illinois was revoked in 2014 after he posted a series of tweets harshly critical of Israel.",1,1671
tights with peanut butter peas,1,6496
     So tell me all about why you are simply rudeand racist. Was it your mother…?,1,1419
i'm . we have been married for 23 years . how about you ?,1,188
__SILENCE__,0,24418
 .... what's so hard about doing that? conservatives have un-remembered thousands of descriptions of things they've read in THEIR cherry-picker bible.,0,11902
"   ALT RIGHT""...LMAO...nope, we're just not Marxists #SocialismSucks""",0,12509
Many are mocking the president’s astonishing lack of understanding about even the most basic concepts of vaccines and how drug tests on them are performed.,1,584
i am going to propose at her college graduation .,1,12684
" Not gonna have much choice when people keep waking up and start voting against you. What exactly is an antifa meeting?  Can you describe what and antifa"" is?""",0,2532
his voice was pleasing too . take away all the editing and many cannot sing,1,2706
The ballooning cost of college and massive student loan debt is recognized as reaching crisis levels by politicians on both sides of the aisle.,0,175
"i just started working online , selling stuff .",0,23362
is she a good cook,1,11662
" I doubt if he is afraid of France , but he is being hammered by the left here everyday.  We think it's France "" behind the genocide secretly for investments ? They sure are silent !!!  Not the ordinary French people , the global elites and banks .  My guess is you will get help""",0,9058
 You are INNOCENT until proven otherwise! I would say most definitely SHE needs to PROVE her story is true,0,3991
 Awesome Job Mr. President Trump!!  MAGA,0,881
"country all day , baby . but i like the classics , too . you like willie nelson ?",1,7932
  i dont think moral psychology can fix the core problem. and using the David Brooks model to pander to the right wont fool them for long. URL i think the right embracing fascism to survive is a very real possibility,0,2977
"that is good , i prefer sports myself as a workout . baseball is my life !",1,13270
i can make a great burger on my george foreman grill . you ?,1,6209
  Too bad Antifa crashes GOP townhalls.,1,10531
 Glad we have our priorities in order re gun control.,0,6057
tell me about it . it seems to follow me .,0,19585
 Bull ! How much is G.SOROS paying you for your statements against the PRESIDENT of out country ?,0,11291
sound delicious ! do you have any hobbies ?,0,17535
that's good exercise ! good for you .,0,14261
she left me i cannot believe it,1,5664
i like electronic and classical music .,1,3386
cool . . . my parents love country music that is why i hate it,1,4507
        Thank you. Good to see we are trying this approach in addition to others. Too often this issue is used as an excuse to tax. Please can you report updates when they become known? Thanks.  thumbs up  light skin tone ,0,12151
"i love cats ! yeah , i've never been able to sing in public until lately .",0,23289
"i am a rolling stones fan myself , its is going well , just drinking herbal decaf tea",1,4588
"awesome ! remember happy wife , happy life .",1,9956
#Warriorscoach fundraising for gun control Brady PAC #PACGoldenStateWarriors #SteveKerr #headcoach URL URL,0,2382
 people shot and killed in Bakersfield and the liberals want to tweet about Gun Control.  Chicago calls  people shot and killed a lunch break yet nobody tweets a word.  You can’t have it both ways.  Legal guns ownership vs illegal gun ownership. What’s the real solution?,0,1763
 like =  uwu for the Troops! Show your American flag and weeabo pride! #MAGA uwu,0,1847
"you should check out some podcasts , they help .",0,14183
"i think i'll , it will only cost me an arm and leg lol",0,15665
i'm a childrens doctor at my own office . what do you do for a living,0,21945
she's 25 pounds . the dogs are labs . they all travel very well .,1,11505
   Great. Here’s how today has gone  Floris wanted to spank me. Leah wanted to stab me. Curtis won’t back me up. Adam still looks great at  or however old as fuck he is... KL has a bigger dick than me but she’s a she...he thinking face ...she?!? URL,1,2846
i really like to dance,0,24213
i do but i love music . folk metal is my favorite genre ! you ?,1,13598
"country ? , i really like being around nature , i love it !",0,25817
oh just trying to get some writing done . what music do you like ?,1,11634
                                                  Oh. Low blow or blow job. Lmao,1,4445
"hello , i believe in things i can touch and see . so . . .",0,17514
she would probably just dig out a pair of my old clothes .,1,3997
do you also like little boys ?,1,2838
yes . i think it will be fun .,0,18356
its ok i've his name tattoo on my arm i've 3,1,12025
i play an instrument so i don't do bad,1,4513
hey there . hows it going . i'm maria .,1,11623
   I was going to ask the same thing.  Don't know who he is.,0,3056
yeah they do all they can for me i'm lucky to have them,0,21452
 you are LITERALLY so woke and sexy,0,3760
"cool , my dad was a good man who taught me right from wrong .",1,4285
"  unleashed""??  No your Lowliness, it's the beginning on an exorcism against the evil in the Body of Christ known as the leaders of the Catholic Church.""",1,7104
 I already knew that ! LMAO  face with tears of joy  SO stay with us deplorable bigots!! We’re getting ready to fight for our COUNTRY! #,1,6339
   Wasn't the organizer of the rally that killed someone it was someone that showed up just like the people that show up to antifa and black lives matter rallies cause violence and rioting everywhere they go,0,6922
talking with you silly playing nfl game,1,10100
aw ! that's cool . how old are your kids ?,1,11442
 Sounds like a great ad for gun control,0,7283
do you like living with him ?,1,2132
"well , i'm going to see my favorite band in pittsburgh !",0,24513
i'm 20 do you like to read ?,0,18459
  You said gun safety laws. Funny. You mean gun control agenda.  Your staffers must be editing your shit these days. Kudos to the minions.,0,9710
Social media users were quick to point out the interactions and slammed McGuire for appearing to undermine Coyne Schofield’s hockey skills.,1,336
i doubt it . i like my team .,1,8206
org . that's terrible . i'm so sorry she has to go through this .,1,1216
i wonder how she's these days .,1,2225
"hi ! i wanted a new purse , spent all day shopping . . . no money left .",1,5052
hello how are you today ?,0,22880
"that is my work , if you reduce the man work you'll go to robots",0,17275
thomas the tank is my favorite . maybe that will change when i turn 10 .,1,2348
yes i have heard that before with someone i do not know why,0,19692
  I feel her emotion and almost cry when watch her saying in this film for  time. She is strong,0,6793
"when i was young my moms would take turns making meals , i've 2 moms",1,11981
"Remember how incensed people got when Trump floated his (admittedly, impractical) ideological test for immigrants.",1,1114
"up there , i meant bass guitar string , not bass fishing , ll",1,9619
 Ask your friends over at ,0,1377
"those are okay , but i really like battlestar galactica . what do you do for a living ?",0,17038
any sports will work for me,1,1678
__SILENCE__,0,15899
good not getting any younger that is for sure and you ?,0,22892
do you get some autographs ?,0,25692
"no , nobody wants to date a 5 foot tall redhead .",1,3830
"But make no mistake about it: Despite receiving widespread positive attention from many in the press, Ocasio-Cortez’s radical left-wing policy proposals and her socialist ideology present a significant threat to America’s economy and its longstanding commitment to individual liberty. ",1,941
"no , i have not , i am too busy playing baseball",1,9497
good my grandchildren are visiting today,0,23280
. “I am breaking all the rules for running as a Democrat by speaking about sensible gun control. A woman at #MarchforOurLives told me how GA’s lax gun laws allowed her daughter to kill herself before she could intervene &amp; begged me to change the laws. We CAN win.” URL,1,7333
thank goodness . my new gf is from houston . her whole family was affected,1,1911
      Lol you are being mean.,1,7523
that's for sure lol . i do not really have a lot of time to work out,0,25751
i tend to read at the park mostly . it is very peaceful .,0,23567
"sounds healthy , my current hobby is working on hair .",1,11379
 Liberals ....cry and complain that all they do URL,1,8158
nanette is my favorite designer . it s what i named my poodle,1,9725
   Please take John Harwood's pen away.  He is incapable of unbiased reporting.,1,5158
                 When liberals are uncomfortable.,0,12447
" Bill O'REILLY, it can happen because, people like you will not speak out Against YOUR"" POTUS AND NRA about GUN control!!!""",1,4521
you like rap music ? i listen to a lot of rap music,1,13259
the trumpet . have you ever played an instrument ?,1,6202
" It's up there with the bumper sticker liberals"", just more expensive.""",0,999
that is also be fine relax . or a night of poker .,0,16028
"close . i am a baker , although i thought i was going to be an actor .",1,5296
i used to . now my workout is teaching kids .,0,19601
  Definitely not as strange as her. Thats for sure. Shes a professor at a alt-left university. All those folks are kooky. #trump #maga,1,8097
 She is sooooo pretty!!!!!,0,2674
it will not let me say his last name mraz,1,4156
"i make my living off of my art , winter is too cold to do a lot .",0,15222
"good evening , how are you ?",0,15206
  How many antifa are out there? Do they have classes on being an antifa member now at schools?,0,12684
